日期,時間戳,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1994-09-05,778694400,4000,384000,96.00,96.00,96.00,96.00,6.00,4
1994-09-06,778780800,1000,102500,102.50,102.50,102.50,102.50,6.50,1
1994-09-07,778867200,1000,109500,109.50,109.50,109.50,109.50,7.00,1
1994-09-08,778953600,2000,234000,117.00,117.00,117.00,117.00,7.50,2
1994-09-09,779040000,1000,125000,125.00,125.00,125.00,125.00,8.00,1
1994-09-10,779126400,37016,4941460,133.50,133.50,133.50,133.50,8.50,24
1994-09-12,779299200,3855000,549337500,142.50,142.50,142.50,142.50,9.00,1850
1994-09-13,779385600,12541527,1906245780,152.00,152.00,152.00,152.00,9.50,4694
1994-09-14,779472000,10301426,1668526474,162.00,162.00,162.00,162.00,10.00,3335
1994-09-15,779558400,17770605,3056261195,173.00,173.00,165.00,173.00,11.00,5935
1994-09-16,779644800,11219138,1930171460,173.00,177.00,168.00,171.00,-2.00,3909
1994-09-17,779731200,8139580,1403674440,171.00,175.00,169.00,171.00,0.00,3142
1994-09-21,780076800,6979000,1196459000,171.00,174.00,168.00,173.00,2.00,2387
1994-09-22,780163200,3401167,577321390,172.00,172.00,169.00,169.00,-4.00,1385
1994-09-23,780249600,10990127,1904076082,169.00,176.00,168.00,175.00,6.00,3734
1994-09-24,780336000,5901627,1022067844,175.00,175.00,171.00,171.00,-4.00,1732
1994-09-26,780508800,4347000,742899000,171.00,173.00,169.00,170.00,-1.00,1159
1994-09-27,780595200,3684962,630777654,171.00,173.00,170.00,171.00,1.00,1176
1994-09-29,780768000,2647670,452808560,172.00,172.00,170.00,172.00,1.00,949
1994-09-30,780854400,2153013,370761197,172.00,174.00,171.00,171.00,-1.00,866
1994-10-01,780940800,1660506,284858008,171.00,172.00,171.00,172.00,1.00,684
1994-10-03,781113600,1560000,268084000,172.00,173.00,171.00,172.00,0.00,711
1994-10-04,781200000,4080590,705755710,172.00,174.00,171.00,174.00,2.00,1704
1994-10-05,781286400,9254433,1614335043,174.00,177.00,172.00,177.00,3.00,3118
1994-10-06,781372800,9664885,1671793990,175.00,176.00,167.00,167.00,-10.00,2176
1994-10-07,781459200,7008819,1181620316,167.00,170.00,167.00,169.00,2.00,2364
1994-10-08,781545600,8929664,1454296224,170.00,171.00,158.00,158.00,-11.00,2910
1994-10-11,781804800,9352000,1467274000,158.00,160.00,154.00,160.00,2.00,2797
1994-10-12,781891200,6870588,1137515316,164.00,170.00,163.00,168.00,8.00,2340
1994-10-13,781977600,4800152,804924080,168.00,170.00,164.00,168.00,0.00,1510
1994-10-14,782064000,3415964,572988060,168.00,170.00,166.00,168.00,0.00,1178
1994-10-15,782150400,4489969,763510885,169.00,171.00,169.00,169.00,1.00,1657
1994-10-17,782323200,2975000,507110000,170.00,171.00,169.00,169.00,0.00,965
1994-10-18,782409600,1605131,270813746,170.00,171.00,168.00,168.00,-1.00,691
1994-10-19,782496000,2699928,448301120,168.00,169.00,164.00,165.00,-3.00,972
1994-10-20,782582400,1287022,213575564,165.00,167.00,165.00,166.00,1.00,496
1994-10-21,782668800,2350778,387642814,166.00,168.00,164.00,164.00,-2.00,841
1994-10-22,782755200,1325363,214907443,164.00,164.00,161.00,162.00,-2.00,600
1994-10-24,782928000,1400000,224793000,161.00,162.00,160.00,160.00,-2.00,553
1994-10-26,783100800,1658926,262807266,160.00,160.00,158.00,159.00,-1.00,651
1994-10-27,783187200,1458348,229175821,158.00,159.00,156.00,156.00,-3.00,559
1994-10-28,783273600,1975036,311464189,156.00,159.00,156.00,159.00,3.00,620
1994-10-29,783360000,2622672,424056231,161.00,163.00,160.00,162.00,3.00,997
1994-11-01,783619200,2689000,427434000,163.00,163.00,157.00,158.00,-4.00,902
1994-11-02,783705600,2113998,334239523,158.00,160.00,156.00,159.00,1.00,634
1994-11-03,783792000,872074,138320734,159.00,160.00,158.00,158.00,-1.00,355
1994-11-04,783878400,1458291,232104613,158.00,161.00,157.00,160.00,2.00,532
1994-11-05,783964800,638747,101920520,160.00,161.00,159.00,159.00,-1.00,242
1994-11-07,784137600,631000,99774000,159.00,159.00,157.00,158.00,-1.00,239
1994-11-08,784224000,398515,62955392,158.00,159.00,157.00,158.00,0.00,190
1994-11-09,784310400,1370831,219513822,159.00,161.00,159.00,161.00,3.00,596
1994-11-10,784396800,1236265,200433181,162.00,163.00,161.00,162.00,1.00,542
1994-11-11,784483200,1255957,203775374,162.00,163.00,161.00,162.00,0.00,517
1994-11-14,784742400,823764,132279044,163.00,163.00,159.00,162.00,0.00,359
1994-11-15,784828800,920858,147565981,160.00,162.00,159.00,162.00,0.00,249
1994-11-16,784915200,597037,96341826,161.00,162.00,160.00,161.00,-1.00,270
1994-11-17,785001600,567769,91367349,162.00,162.00,160.00,160.00,-1.00,225
1994-11-18,785088000,437613,70350896,160.00,161.00,160.00,160.00,0.00,194
1994-11-19,785174400,416259,67085425,160.00,162.00,160.00,162.00,2.00,156
1994-11-21,785347200,417000,67186000,162.00,162.00,160.00,161.00,-1.00,149
1994-11-22,785433600,803499,128930477,161.00,161.00,160.00,160.00,-1.00,230
1994-11-23,785520000,1111160,176842743,159.00,160.00,158.00,159.00,-1.00,333
1994-11-24,785606400,658344,105207558,160.00,161.00,159.00,159.00,0.00,189
1994-11-25,785692800,1832257,295414678,160.00,162.00,160.00,161.00,2.00,528
1994-11-26,785779200,386254,62012650,161.00,162.00,160.00,160.00,-1.00,166
1994-11-28,785952000,519000,82830000,160.00,160.00,159.00,159.00,-1.00,194
1994-11-29,786038400,668724,106693781,159.00,160.00,159.00,160.00,1.00,224
1994-11-30,786124800,1872111,296815780,160.00,160.00,157.00,159.00,-1.00,433
1994-12-01,786211200,1456842,231577171,159.00,160.00,158.00,160.00,1.00,362
1994-12-02,786297600,2150996,341040961,160.00,160.00,158.00,159.00,-1.00,657
1994-12-05,786556800,4907029,810880197,163.00,168.00,162.00,166.00,7.00,1434
1994-12-06,786643200,1890701,312077923,166.00,166.00,163.00,164.00,-2.00,664
1994-12-07,786729600,1299647,212893916,164.00,165.00,163.00,164.00,0.00,451
1994-12-08,786816000,993552,161881698,164.00,164.00,162.00,162.00,-2.00,389
1994-12-09,786902400,1233479,198106959,162.00,163.00,159.00,161.00,-1.00,456
1994-12-10,786988800,1202567,192393540,162.00,162.00,159.00,159.00,-2.00,472
1994-12-12,787161600,563000,89013000,159.00,159.00,157.00,159.00,0.00,338
1994-12-13,787248000,596234,94083874,158.00,159.00,157.00,157.00,-2.00,318
1994-12-14,787334400,1112919,174064269,157.00,158.00,156.00,156.00,-1.00,538
1994-12-15,787420800,1106348,172419184,156.00,157.00,155.00,156.00,0.00,540
1994-12-16,787507200,2329834,364151802,158.00,159.00,155.00,155.00,-1.00,810
1994-12-17,787593600,1324383,205307220,155.00,156.00,154.00,156.00,1.00,637
1994-12-19,787766400,1698000,265492000,156.00,158.00,155.00,158.00,2.00,563
1994-12-20,787852800,1168941,184238029,158.00,159.00,157.00,157.00,-1.00,391
1994-12-21,787939200,1132194,176325010,157.00,158.00,155.00,156.00,-1.00,480
1994-12-22,788025600,2203392,346248735,156.00,159.00,155.00,157.00,1.00,811
1994-12-23,788112000,1442820,224359881,157.00,158.00,154.00,155.00,-2.00,572
1994-12-24,788198400,1813838,280852038,155.00,156.00,154.00,155.00,0.00,644
1994-12-27,788457600,1412000,218689000,155.00,156.00,154.00,155.00,0.00,616
1994-12-28,788544000,1650849,258800625,155.00,158.00,155.00,156.00,1.00,687
1994-12-29,788630400,1027122,160615157,156.00,157.00,156.00,156.00,0.00,464
1994-12-30,788716800,2276128,356733522,157.00,158.00,156.00,156.00,0.00,765
1994-12-31,788803200,1655119,259186694,157.00,158.00,156.00,157.00,1.00,540
1995-01-05,789235200,1548000,241974000,157.00,158.00,155.00,155.00,-2.00,708
1995-01-06,789321600,862962,133773066,156.00,156.00,154.00,154.00,-1.00,431
1995-01-07,789408000,801352,123183665,154.00,155.00,153.00,154.00,0.00,399
1995-01-09,789580800,1696000,258617000,154.00,154.00,151.00,151.00,-3.00,664
1995-01-10,789667200,2012525,301040449,151.00,151.00,148.00,150.00,-1.00,712
1995-01-11,789753600,532243,79597082,149.00,150.00,149.00,149.50,-0.50,265
1995-01-12,789840000,1637857,243658336,150.00,150.00,148.00,148.00,-1.50,487
1995-01-13,789926400,1172987,173054614,148.00,149.00,146.00,146.00,-2.00,485
1995-01-14,790012800,2869869,404874104,146.00,146.00,139.00,140.00,-6.00,938
