日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,最後揭示買價,最後揭示賣價
2006-10-24,83277370,4805094850,57.00,60.00,54.70,54.80,0.00,20994,54.70,54.80
2006-10-25,38561011,2014981770,55.00,55.00,50.40,52.50,-2.30,10701,52.30,52.50
2006-10-26,21942120,1145096763,52.50,53.40,51.00,52.70,0.20,5786,52.60,52.70
2006-10-27,25173681,1348927316,54.00,54.00,52.40,53.00,0.30,5284,53.00,53.10
2006-10-30,8492792,444909592,52.50,53.00,52.00,52.00,-1.00,2540,51.90,52.00
2006-10-31,8618088,442598796,50.50,51.90,50.40,51.60,-0.40,2261,51.50,51.60
2006-11-01,8668419,448909077,51.90,52.40,51.30,51.60,0.00,2095,51.50,51.60
2006-11-02,19194960,1007521082,51.60,53.90,51.60,53.00,1.40,3646,53.00,53.10
2006-11-03,35997874,1994038935,53.40,56.70,53.00,56.70,3.70,8311,56.70,--
2006-11-06,25505790,1483971790,56.00,59.70,55.60,58.80,2.10,7606,58.70,58.80
2006-11-07,16787774,992099354,59.50,59.70,58.20,59.10,0.30,4620,59.00,59.10
2006-11-08,15324648,900087358,59.10,59.90,57.40,58.00,-1.10,3480,58.00,58.10
2006-11-09,11747956,660157148,58.00,58.10,55.00,55.50,-2.50,3720,55.40,55.50
2006-11-10,10803705,609420521,55.50,57.70,55.50,56.50,1.00,3655,56.50,56.60
2006-11-13,6167289,342492128,57.00,57.00,54.90,55.50,-1.00,2267,55.40,55.50
2006-11-14,9997600,552409599,55.60,55.90,54.80,55.30,-0.20,3110,55.20,55.30
2006-11-15,10337728,584504038,55.50,57.20,55.20,56.70,1.40,3344,56.60,56.70
2006-11-16,5478585,308171767,56.50,57.10,55.50,55.60,-1.10,1952,55.60,55.70
2006-11-17,3887547,214715994,55.20,56.50,54.80,55.20,-0.40,1441,55.20,55.30
2006-11-20,4660700,256885670,55.20,55.60,54.80,55.10,-0.10,1380,55.10,55.20
2006-11-21,3831150,212421740,55.40,56.20,54.90,55.60,0.50,1321,55.60,55.70
2006-11-22,5483349,307623293,56.10,57.00,55.30,55.50,-0.10,1773,55.40,55.60
2006-11-23,4345000,241053500,55.50,55.80,55.10,55.60,0.10,1243,55.60,55.70
2006-11-24,5471100,304812600,55.60,56.30,55.20,55.50,-0.10,1689,55.50,55.60
2006-11-27,6000720,331856126,55.70,56.40,54.90,54.90,-0.60,2277,54.90,55.00
2006-11-28,9981611,533837866,54.90,54.90,52.70,53.50,-1.40,3132,53.40,53.50
2006-11-29,4892080,261956456,53.50,54.10,53.00,53.50,0.00,1618,53.50,53.60
