,0
0,0001
1,0015
2,0029
3,0050
4,0051
5,0052
6,0053
7,0054
8,0055
9,0056
10,0057
11,0058
12,0059
13,0060
14,0061
15,006201
16,006202
17,006203
18,006204
19,006205
20,006206
21,006207
22,006208
23,00625K
24,00631L
25,00632R
26,00633L
27,00634R
28,00635U
29,00636
30,00637L
31,00638R
32,00639
33,00640L
34,00641R
35,00642U
36,00643
37,00643K
38,00645
39,00646
40,00647L
41,00648R
42,00649
43,00650L
44,00651R
45,00652
46,00653L
47,00654R
48,00655L
49,00656R
50,00657
51,00658L
52,00659R
53,00660
54,00661
55,00662
56,00663L
57,00664R
58,00665L
59,00666R
60,00667
61,00668
62,00669R
63,00670L
64,00671R
65,00672L
66,00673R
67,00674R
68,00675L
69,00676R
70,00677U
71,00678
72,00679B
73,00680L
74,00681R
75,00682U
76,00683L
77,00684R
78,00685L
79,00686R
80,00687B
81,00688L
82,00689R
83,00690
84,00691R
85,00692
86,00693U
87,00694B
88,00695B
89,00696B
90,00697B
91,00698L
92,00699R
93,00700
94,0080
95,0081
96,008201
97,01001T
98,01002T
99,01003T
100,01004T
101,01005T
102,01006T
103,01007T
104,01008T
105,03000
106,030001
107,030002
108,030003
109,030004
110,030005
111,030006
112,030007
113,030008
114,030009
115,03001
116,030010
117,030011
118,030012
119,030013
120,030014
121,030015
122,030016
123,030017
124,030018
125,030019
126,03001B
127,03001C
128,03001F
129,03001P
130,03001Q
131,03001X
132,03002
133,030020
134,030021
135,030022
136,030023
137,030024
138,030025
139,030026
140,030027
141,030028
142,030029
143,03002B
144,03002C
145,03002F
146,03002P
147,03002Q
148,03002X
149,03003
150,030030
151,030031
152,030032
153,030033
154,030034
155,030035
156,030036
157,030037
158,030038
159,030039
160,03003B
161,03003C
162,03003F
163,03003P
164,03003Q
165,03003X
166,03004
167,030040
168,030041
169,030042
170,030043
171,030044
172,030045
173,030046
174,030047
175,030048
176,030049
177,03004B
178,03004C
179,03004F
180,03004P
181,03004Q
182,03004X
183,03005
184,030050
185,030051
186,030052
187,030053
188,030054
189,030055
190,030056
191,030057
192,030058
193,030059
194,03005B
195,03005C
196,03005F
197,03005P
198,03005Q
199,03005X
200,03006
201,030060
202,030061
203,030062
204,030063
205,030064
206,030065
207,030066
208,030067
209,030068
210,030069
211,03006B
212,03006C
213,03006F
214,03006P
215,03006X
216,03007
217,030070
218,030071
219,030072
220,030073
221,030074
222,030075
223,030076
224,030077
225,030078
226,030079
227,03007B
228,03007C
229,03007F
230,03007P
231,03007X
232,03008
233,030080
234,030081
235,030082
236,030083
237,030084
238,030085
239,030086
240,030087
241,030088
242,030089
243,03008B
244,03008C
245,03008F
246,03008P
247,03008X
248,03009
249,030090
250,030091
251,030092
252,030093
253,030094
254,030095
255,030096
256,030097
257,030098
258,030099
259,03009B
260,03009C
261,03009F
262,03009P
263,03009X
264,0301
265,03010
266,030100
267,030101
268,030102
269,030103
270,030104
271,030105
272,030106
273,030107
274,030108
275,030109
276,03010B
277,03010C
278,03010F
279,03010P
280,03010X
281,03011
282,030110
283,030111
284,030112
285,030113
286,030114
287,030115
288,030116
289,030117
290,030118
291,030119
292,03011B
293,03011C
294,03011F
295,03011P
296,03011X
297,03012
298,030120
299,030121
300,030122
301,030123
302,030124
303,030125
304,030126
305,030127
306,030128
307,030129
308,03012B
309,03012C
310,03012F
311,03012P
312,03012X
313,03013
314,030130
315,030131
316,030132
317,030133
318,030134
319,030135
320,030136
321,030137
322,030138
323,030139
324,03013B
325,03013C
326,03013F
327,03013P
328,03013X
329,03014
330,030140
331,030141
332,030142
333,030143
334,030144
335,030145
336,030146
337,030147
338,030148
339,030149
340,03014B
341,03014C
342,03014F
343,03014P
344,03014X
345,03015
346,030150
347,030151
348,030152
349,030153
350,030154
351,030155
352,030156
353,030157
354,030158
355,030159
356,03015B
357,03015C
358,03015F
359,03015P
360,03015X
361,03016
362,030160
363,030161
364,030162
365,030163
366,030164
367,030165
368,030166
369,030167
370,030168
371,030169
372,03016B
373,03016C
374,03016F
375,03016P
376,03016X
377,03017
378,030170
379,030171
380,030172
381,030173
382,030174
383,030175
384,030176
385,030177
386,030178
387,030179
388,03017B
389,03017C
390,03017F
391,03017P
392,03017X
393,03018
394,030180
395,030181
396,030182
397,030183
398,030184
399,030185
400,030186
401,030187
402,030188
403,030189
404,03018B
405,03018C
406,03018F
407,03018P
408,03018X
409,03019
410,030190
411,030191
412,030192
413,030193
414,030194
415,030195
416,030196
417,030197
418,030198
419,030199
420,03019B
421,03019C
422,03019F
423,03019P
424,03019X
425,0302
426,03020
427,030200
428,030201
429,030202
430,030203
431,030204
432,030205
433,030206
434,030207
435,030208
436,030209
437,03020B
438,03020C
439,03020F
440,03020P
441,03020X
442,03021
443,030210
444,030211
445,030212
446,030213
447,030214
448,030215
449,030216
450,030217
451,030218
452,030219
453,03021B
454,03021C
455,03021F
456,03021P
457,03021X
458,03022
459,030220
460,030221
461,030222
462,030223
463,030224
464,030225
465,030226
466,030227
467,030228
468,030229
469,03022B
470,03022C
471,03022F
472,03022P
473,03022X
474,03023
475,030230
476,030231
477,030232
478,030233
479,030234
480,030235
481,030236
482,030237
483,030238
484,030239
485,03023B
486,03023C
487,03023F
488,03023P
489,03023X
490,03024
491,030240
492,030241
493,030242
494,030243
495,030244
496,030245
497,030246
498,030247
499,030248
500,030249
501,03024B
502,03024C
503,03024F
504,03024P
505,03024X
506,03025
507,030250
508,030251
509,030252
510,030253
511,030254
512,030255
513,030256
514,030257
515,030258
516,030259
517,03025B
518,03025C
519,03025F
520,03025P
521,03025X
522,03026
523,030260
524,030261
525,030262
526,030263
527,030264
528,030265
529,030266
530,030267
531,030268
532,030269
533,03026B
534,03026C
535,03026F
536,03026P
537,03026X
538,03027
539,030270
540,030271
541,030272
542,030273
543,030274
544,030275
545,030276
546,030277
547,030278
548,030279
549,03027B
550,03027C
551,03027F
552,03027P
553,03027X
554,03028
555,030280
556,030281
557,030282
558,030283
559,030284
560,030285
561,030286
562,030287
563,030288
564,030289
565,03028B
566,03028C
567,03028F
568,03028P
569,03028X
570,03029
571,030290
572,030291
573,030292
574,030293
575,030294
576,030295
577,030296
578,030297
579,030298
580,030299
581,03029B
582,03029C
583,03029F
584,03029P
585,03029X
586,0302P
587,0303
588,03030
589,030300
590,030301
591,030302
592,030303
593,030304
594,030305
595,030306
596,030307
597,030308
598,030309
599,03030B
600,03030C
601,03030F
602,03030P
603,03030X
604,03031
605,030310
606,030311
607,030312
608,030313
609,030314
610,030315
611,030316
612,030317
613,030318
614,030319
615,03031B
616,03031C
617,03031F
618,03031P
619,03031X
620,03032
621,030320
622,030321
623,030322
624,030323
625,030324
626,030325
627,030326
628,030327
629,030328
630,030329
631,03032B
632,03032C
633,03032F
634,03032P
635,03032X
636,03033
637,030330
638,030331
639,030332
640,030333
641,030334
642,030335
643,030336
644,030337
645,030338
646,030339
647,03033B
648,03033C
649,03033F
650,03033P
651,03033X
652,03034
653,030340
654,030341
655,030342
656,030343
657,030344
658,030345
659,030346
660,030347
661,030348
662,030349
663,03034B
664,03034C
665,03034F
666,03034P
667,03034X
668,03035
669,030350
670,030351
671,030352
672,030353
673,030354
674,030355
675,030356
676,030357
677,030358
678,030359
679,03035B
680,03035C
681,03035F
682,03035P
683,03035X
684,03036
685,030360
686,030361
687,030362
688,030363
689,030364
690,030365
691,030366
692,030367
693,030368
694,030369
695,03036B
696,03036C
697,03036F
698,03036P
699,03036X
700,03037
701,030370
702,030371
703,030372
704,030373
705,030374
706,030375
707,030376
708,030377
709,030378
710,030379
711,03037B
712,03037C
713,03037F
714,03037P
715,03037X
716,03038
717,030380
718,030381
719,030382
720,030383
721,030384
722,030385
723,030386
724,030387
725,030388
726,030389
727,03038B
728,03038C
729,03038F
730,03038P
731,03038X
732,03039
733,030390
734,030391
735,030392
736,030393
737,030394
738,030395
739,030396
740,030397
741,030398
742,030399
743,03039B
744,03039C
745,03039F
746,03039P
747,03039X
748,0304
749,03040
750,030400
751,030401
752,030402
753,030403
754,030404
755,030405
756,030406
757,030407
758,030408
759,030409
760,03040B
761,03040C
762,03040F
763,03040P
764,03040X
765,03041
766,030410
767,030411
768,030412
769,030413
770,030414
771,030415
772,030416
773,030417
774,030418
775,030419
776,03041B
777,03041C
778,03041F
779,03041P
780,03041X
781,03042
782,030420
783,030421
784,030422
785,030423
786,030424
787,030425
788,030426
789,030427
790,030428
791,030429
792,03042B
793,03042C
794,03042F
795,03042P
796,03042X
797,03043
798,030430
799,030431
800,030432
801,030433
802,030434
803,030435
804,030436
805,030437
806,030438
807,030439
808,03043B
809,03043C
810,03043F
811,03043P
812,03043X
813,03044
814,030440
815,030441
816,030442
817,030443
818,030444
819,030445
820,030446
821,030447
822,030448
823,030449
824,03044B
825,03044C
826,03044F
827,03044P
828,03044X
829,03045
830,030450
831,030451
832,030452
833,030453
834,030454
835,030455
836,030456
837,030457
838,030458
839,030459
840,03045B
841,03045C
842,03045F
843,03045P
844,03045X
845,03046
846,030460
847,030461
848,030462
849,030463
850,030464
851,030465
852,030466
853,030467
854,030468
855,030469
856,03046B
857,03046C
858,03046F
859,03046P
860,03046X
861,03047
862,030470
863,030471
864,030472
865,030473
866,030474
867,030475
868,030476
869,030477
870,030478
871,030479
872,03047B
873,03047C
874,03047F
875,03047P
876,03047X
877,03048
878,030480
879,030481
880,030482
881,030483
882,030484
883,030485
884,030486
885,030487
886,030488
887,030489
888,03048B
889,03048C
890,03048P
891,03048X
892,03049
893,030490
894,030491
895,030492
896,030493
897,030494
898,030495
899,030496
900,030497
901,030498
902,030499
903,03049B
904,03049C
905,03049P
906,03049X
907,0304P
908,0305
909,03050
910,030500
911,030501
912,030502
913,030503
914,030504
915,030505
916,030506
917,030507
918,030508
919,030509
920,03050B
921,03050C
922,03050P
923,03050X
924,03051
925,030510
926,030511
927,030512
928,030513
929,030514
930,030515
931,030516
932,030517
933,030518
934,030519
935,03051B
936,03051C
937,03051P
938,03051X
939,03052
940,030520
941,030521
942,030522
943,030523
944,030524
945,030525
946,030526
947,030527
948,030528
949,030529
950,03052B
951,03052C
952,03052P
953,03052X
954,03053
