,Data
0,4815.0
1,8724.085069298744
2,5261.752568073571
3,9245.296297073364
4,12806.907405853271
5,10349.76794064045
6,8897.822049558163
7,16033.453702926636
8,10399.407405853271
9,10933.028356432915
10,12868.956019878387
11,9208.067128658295
12,8041.546297073364
13,5522.358217835426
14,6242.126301974058
15,5832.603081688285
16,6862.616029679775
17,6204.896846562624
18,5150.064417086542
19,4579.2139214091
20,11255.682871341705
21,6850.20616337657
22,5745.7345198094845
23,3896.67527474463
24,5584.407190605998
25,7160.451098978519
26,8227.69328713417
27,7818.170138597488
28,4914.278347464278
29,5435.489655956626
30,5683.685547038913
31,4616.443305071443
32,2767.3839703202248
33,2891.481915861368
34,4492.345377467573
35,4504.755172021687
36,13241.25
37,9319.755207896233
38,8575.167534649372
39,8364.20109897852
40,7644.432871341705
41,4877.0489682862535
42,5348.621129952371
43,6539.961371272802
44,4839.81958686607
45,5236.932978965342
46,6639.239727705717
47,5795.373698025942
48,8178.054108917713
49,6862.616029679775
50,11516.28877222538
51,9654.819445610046
52,10697.242475152016
53,5298.981951735914
54,6428.273148536682
55,8550.347802042961
56,7234.909722805023
57,18738.78819823265
58,15760.438653230667
59,18527.821762561798
60,7793.950515389442
61,7256.023758351803
62,7846.178113818169
63,7837.7171739935875
64,7532.3613649606705
65,8209.528713226318
66,7719.559622704983
67,8588.377403318882
68,8142.962489426136
69,7580.913400948048
70,8192.19786375761
71,7539.571861624718
72,8305.795616805553
73,8474.426931738853
